Source,Target,Type
1130275573073268736,11,Undirected
1130263035082227713,10,Undirected
1129268504555737089,12,Undirected
1127342093347647488,11,Undirected
1129712215836188677,12,Undirected
1128844158808993792,10,Undirected
1129553294274191360,10,Undirected
1129660751948337153,12,Undirected
1130183134572474370,13,Undirected
1127204464513966081,11,Undirected
1130223488482942976,12,Undirected
1127338462581944320,11,Undirected
1129271699839508480,12,Undirected
1129576237574213632,14,Undirected
1127389157842534400,10,Undirected
1127415049985773568,12,Undirected
1127224408643260416,10,Undirected
1129898281083973632,12,Undirected
1128455405737091072,12,Undirected
1129851970376818689,14,Undirected
1129926133053501441,12,Undirected
1127348761452109824,10,Undirected
1129397972477698048,10,Undirected
1130035090371694592,10,Undirected
1129652945895616517,12,Undirected
1129513198686629896,10,Undirected
1129725890487869441,12,Undirected
1128888182295023617,12,Undirected
1127343614646874112,12,Undirected
1127355001263640576,10,Undirected
1127040883033903104,11,Undirected
1128970939826237441,12,Undirected
1129660154687893505,11,Undirected
1127920650692190208,12,Undirected
1127066767606501377,12,Undirected
1128094257380597760,10,Undirected
1127543497689403392,11,Undirected
1129690849388875777,10,Undirected
1127051735732637696,12,Undirected
1129712696771862530,10,Undirected
1128836795523784704,14,Undirected
1129516053858377728,14,Undirected
1129593235758768134,14,Undirected
1129682024631955457,12,Undirected
1129223464315842560,11,Undirected
1130128984258142208,11,Undirected
1129571139213090816,14,Undirected
1128213562038439936,10,Undirected
1127817045196673025,12,Undirected
1127894361629323265,12,Undirected
1129513335265751041,13,Undirected
1129189454382395392,12,Undirected
1128988677382631426,13,Undirected
1126966490291290112,12,Undirected
1128586214049701890,10,Undirected
1129684642339139584,12,Undirected
1129749458311360516,11,Undirected
1128247541420646401,10,Undirected
1128870844954841089,12,Undirected
1129750678132461573,11,Undirected
1129671884608483329,14,Undirected
1129282405771046912,10,Undirected
1129884057360248832,12,Undirected
1130341442382061568,11,Undirected
1129990290289205250,14,Undirected
1129704885207805953,12,Undirected
1129880688457424896,10,Undirected
1128785171765874688,11,Undirected
1129760781552300038,10,Undirected
1129488097169760256,12,Undirected
1129983357968764928,12,Undirected
1129738569646579713,12,Undirected
1128440085278367745,10,Undirected
1129682080202252290,10,Undirected
1129879702284382208,12,Undirected
1127726685862879232,11,Undirected
1129539809045692420,14,Undirected
1128937839964479488,10,Undirected
1127501919138619392,11,Undirected
1128029398840385536,10,Undirected
1128791307353088000,11,Undirected
1130052979065667589,14,Undirected
1128281386769580032,11,Undirected
1129715882073026560,12,Undirected
1127516352762114048,12,Undirected
