Source,Target,Type
1127853489411899392,11,Undirected
1127432243964567552,12,Undirected
1129724524914720769,12,Undirected
1127186919979274240,10,Undirected
1129679972405207041,11,Undirected
1127435581686816768,10,Undirected
1128901683889631232,11,Undirected
1127372490794082304,12,Undirected
1127801942678413312,11,Undirected
1128787348806807552,10,Undirected
1130402133138763776,10,Undirected
1129739289116459009,14,Undirected
1128797707965947904,12,Undirected
1129595396341133314,14,Undirected
1127498618120708096,10,Undirected
1128950214176518144,12,Undirected
1128485220028538880,10,Undirected
1128216448889966595,11,Undirected
1129319773618049024,12,Undirected
1129826741730459648,13,Undirected
1129950123654430720,10,Undirected
1129746890512306176,12,Undirected
1129741279104000000,11,Undirected
1128239208114425857,12,Undirected
1127002069804544000,12,Undirected
1129685411134001152,11,Undirected
1128503891014721536,10,Undirected
1128963351197888514,12,Undirected
1129848715500371968,11,Undirected
1127467532909142016,11,Undirected
1128558207402516480,12,Undirected
1128579409072381952,11,Undirected
1129272471708815361,12,Undirected
1129759142783180801,10,Undirected
1128807030444060672,14,Undirected
1126969871126843392,10,Undirected
1127693069791272960,13,Undirected
1130322078622601216,12,Undirected
1128072853662732288,10,Undirected
1128485631783366656,12,Undirected
1129576201658327043,12,Undirected
1129697513131298817,13,Undirected
1130320577632149504,14,Undirected
1129722954349072384,11,Undirected
1130405303479152640,14,Undirected
1129627514383605761,11,Undirected
1129566700033138688,12,Undirected
1129571934075625473,12,Undirected
1129742813921464326,11,Undirected
1129203634523299841,11,Undirected
1128279733156884487,10,Undirected
1129989643934429184,14,Undirected
1130042576268976128,11,Undirected
1129179473813868545,12,Undirected
1127971357214461952,10,Undirected
1128520187089641472,12,Undirected
1127214760406052867,12,Undirected
1126971440517877760,11,Undirected
1129674236983824384,13,Undirected
1129670668818108416,13,Undirected
1129716418394578944,12,Undirected
1129700503997243392,10,Undirected
1127156748505243649,11,Undirected
1129671252879204353,10,Undirected
1129749167646085122,11,Undirected
1129676574180007936,12,Undirected
1128896980397068288,10,Undirected
