Source,Target,Type,Weight
1129941325497884672,5,Undirected,1.3479488596967883
1129727176796983296,7,Undirected,7.834177336928962
1127891355869409280,3,Undirected,0.3637895952367568
1128535020325429254,2,Undirected,14.636826663108957
1128092638706450432,3,Undirected,1.3878957424294798
1128752899620687872,5,Undirected,1.3479488596967883
1127481541284614144,2,Undirected,14.636826663108957
1128619069102366720,4,Undirected,0.1496223005820804
1129546834022506496,7,Undirected,1.4261575182519257
1129566239590719488,5,Undirected,0.5501454461084833
1127916579910373376,5,Undirected,0.21907868991983337
1129744983932776454,5,Undirected,1.3565910553921625
1126957680436715520,5,Undirected,0.5501454461084833
1129835859467837440,5,Undirected,1.3479488596967883
1128770285698600961,5,Undirected,1.3479488596967883
1127867760023724033,3,Undirected,4.098278090364947
1128987061736812544,2,Undirected,14.636826663108957
1128953263775191040,3,Undirected,4.098278090364947
1127186116170240001,3,Undirected,4.098278090364947
1129151948760838145,3,Undirected,4.098278090364947
1129241402766835714,4,Undirected,1.9897456302547498
1130015650930253826,5,Undirected,1.3479488596967883
1127736263967035392,2,Undirected,14.636826663108957
1129502995098480640,2,Undirected,14.636826663108957
1127355846600474624,3,Undirected,4.098278090364947
1128916855026937861,3,Undirected,4.098278090364947
1129665749600022529,2,Undirected,14.636826663108957
1128883632683212801,5,Undirected,1.3479488596967883
1129691170391486465,3,Undirected,0.2510870360577417
1128854152191201281,4,Undirected,1.986788642894781
1129526581313978368,3,Undirected,4.098278090364947
1127312864060907520,2,Undirected,0.18585236411907638
1130332839931666433,3,Undirected,4.098278090364947
1130247409613754368,3,Undirected,4.098278090364947
1129743160316432386,3,Undirected,4.098278090364947
1127059952428732416,3,Undirected,5.087658319529352
1129688274799226880,5,Undirected,1.3479488596967883
1127080183075237889,5,Undirected,0.5501454461084833
1129711088574926850,2,Undirected,14.636826663108957
1129218526999220224,1,Undirected,6.127999117171522
1126987342047113216,1,Undirected,5.03499620836995
1130039892912644096,2,Undirected,14.636826663108957
1128919300838895616,5,Undirected,1.3479488596967883
1128783617692524545,3,Undirected,4.098278090364947
1129275870370258944,3,Undirected,1.5878602201285048
1129306284061106176,3,Undirected,4.098278090364947
1129401904788697088,3,Undirected,4.098278090364947
1127475338622062594,4,Undirected,1.986788642894781
1127400257535348737,3,Undirected,4.098278090364947
1129701920644317184,3,Undirected,4.098278090364947
1127860414488821761,2,Undirected,14.636826663108957
1128586949743132672,3,Undirected,4.098278090364947
1128528853561774080,1,Undirected,6.127999117171522
1130335616762298368,5,Undirected,1.2103519796005355
1127004456283807744,5,Undirected,0.5501454461084833
1128961885917683712,3,Undirected,4.098278090364947
1129743163067908097,1,Undirected,6.127999117171522
1128960293994881025,2,Undirected,14.636826663108957
1129895444908109825,5,Undirected,1.3479488596967883
1129704068648058881,5,Undirected,0.5434944651305356
1129583215449034752,3,Undirected,4.098278090364947
1129149577632681984,5,Undirected,1.3479488596967883
1129742772355960833,5,Undirected,1.3479488596967883
1129726330772348930,1,Undirected,6.127999117171522
1129685794858315781,5,Undirected,0.5501454461084833
1128203081106186240,1,Undirected,6.127999117171522
1127089741596200960,3,Undirected,0.28259110273501353
1129910566829453313,3,Undirected,4.098278090364947
1127500173997821954,2,Undirected,14.636826663108957
1129808728750940160,5,Undirected,1.3479488596967883
1129498464868429824,1,Undirected,6.127999117171522
1128932696938336257,5,Undirected,0.36657095745181634
1127488969086603268,5,Undirected,0.21907868991983337
1130012820404203520,2,Undirected,14.636826663108957
1129969186191470592,5,Undirected,1.4082173808993665
1129753294853812233,3,Undirected,4.098278090364947
1129711350970667009,5,Undirected,1.3312081526587605
1128201333805203456,3,Undirected,4.098278090364947
1127748641676902400,3,Undirected,4.098278090364947
1130258854996979712,5,Undirected,1.3479488596967883
1129698765823127552,4,Undirected,1.986788642894781
1128758067489673216,3,Undirected,4.098278090364947
1128039716115206144,5,Undirected,1.2201393145373551
1129509236835139584,5,Undirected,0.5501454461084833
1129597533712293895,3,Undirected,1.5878602201285048
1130396098873384960,2,Undirected,14.636826663108957
1127534512873689089,5,Undirected,0.5501454461084833
1128441137012690944,3,Undirected,4.098278090364947
1128262329219502080,4,Undirected,1.986788642894781
1128072765733425152,5,Undirected,1.2614004005481705
1128092375333519360,3,Undirected,4.098278090364947
1129684187013771264,7,Undirected,7.834177336928962
1129699418406436865,3,Undirected,4.098278090364947
1128986971219456001,5,Undirected,0.5501454461084833
1128906514603708416,4,Undirected,1.986788642894781
1128086036498640897,2,Undirected,14.636826663108957
1130255135240859649,2,Undirected,14.636826663108957
1128837969836630016,1,Undirected,6.127999117171522
1127329876262903808,5,Undirected,0.935147017656955
1128827442167275520,2,Undirected,14.636826663108957
1129618595921530880,4,Undirected,1.986788642894781
1128043267419922432,3,Undirected,4.098278090364947
1129339419586990081,5,Undirected,1.0076833024560863
1127484968303714304,5,Undirected,0.577212105236053
1127367180276756481,2,Undirected,14.636826663108957
1128078676237508609,3,Undirected,4.098278090364947
1127105699656286208,2,Undirected,14.636826663108957
1129219685604515841,3,Undirected,3.6873730177990773
1129167356570169345,3,Undirected,4.098278090364947
1129742340208386049,4,Undirected,1.986788642894781
1128450546870833153,5,Undirected,0.5501454461084833
1129334411588018177,5,Undirected,1.3479488596967883
1129708870387896327,3,Undirected,4.563291235920857
1129302411103752193,2,Undirected,14.636826663108957
1129724680955412481,6,Undirected,0.3263763825193195
1129694945189584897,2,Undirected,14.636826663108957
